LON,LAT,DIRECCION,TITULO,IMAGEN
-3.52509627839784,40.341876181643428,AV Aurelio Álvarez s/n 28521,Estación de Metro Rivas-Futura,http://www.rivasciudad.es/portal/RecursosWeb/IMAGENES/1/0_585_1.JPG
-3.520399787854784,40.328170048091607,AV de Francia s/n 28521,Estación de Metro Rivas-Vaciamadrid,http://www.rivasciudad.es/portal/RecursosWeb/IMAGENES/1/0_763_1.JPG
-3.547695628004324,40.367141387523162,CL Abogados de Atocha s/n 28523,Estación de Medtro Rivas-Urbanizaciones,http://www.rivasciudad.es/portal/RecursosWeb/IMAGENES/1/0_587_1.JPG
