Line,From (ID),To (ID),Weight (coaches),Kilometres
7b,La Rambla,Coslada Central,2.6,
7b,Coslada Central,Barrio del Puerto,2.6,
7b,Barrio del Puerto,Estadio Metropolitano,2.6,
7,Estadio Metropolitano,Las Musas,5.0,
7,Las Musas,San Blas,5.0,
7,San Blas,Simancas,5.0,
7,Simancas,García Noblejas,5.0,
7,García Noblejas,Ascao,5.0,
7,Ascao,Pueblo Nuevo,5.0,
7,Pueblo Nuevo,Barrio de la Concepción,5.0,
7,Barrio de la Concepción,Parque de las Avenidas,5.0,
7,Parque de las Avenidas,Cartagena,5.0,
7,Cartagena,Avenida de América,5.0,
7,Avenida de América,Gregorio Marañón,5.0,
7,Gregorio Marañón,Alonso Cano,5.0,
7,Alonso Cano,Canal,5.0,
7,Canal,Islas Filipinas,5.0,
7,Islas Filipinas,Guzmán el Bueno,5.0,
7,Guzmán el Bueno,Francos Rodríguez,5.0,
7,Francos Rodríguez,Valdezarza,5.0,
7,Valdezarza,Antonio Machado,5.0,
7,Antonio Machado,Peñagrande,5.0,
7,Peñagrande,Avenida de la Ilustración,5.0,
7,Avenida de la Ilustración,Lacoma,5.0,
7,Lacoma,Arroyofresno,5.0,
7,Arroyofresno,Pitis,5.0,
8,Nuevos Ministerios,Colombia,6.3,
8,Colombia,Pinar del Rey,6.3,
8,Pinar del Rey,Mar de Cristal,6.3,
8,Mar de Cristal,Feria de Madrid,6.3,
8,Feria de Madrid,Aeropuerto T1-T2-T3,6.3,
8,Aeropuerto T1-T2-T3,Barajas,6.3,
8,Barajas,Aeropuerto T4,6.3,
9,Paco de Lucía,Mirasierra,5.2,
9,Mirasierra,Herrera Oria,5.2,
9,Herrera Oria,Barrio del Pilar,5.2,
9,Barrio del Pilar,Ventilla,5.2,
9,Ventilla,Plaza de Castilla,5.2,
9,Plaza de Castilla,Duque de Pastrana,5.2,
9,Duque de Pastrana,Pío XII,5.2,
9,Pío XII,Colombia,5.2,
9,Colombia,Concha Espina,5.2,
9,Concha Espina,Cruz del Rayo,5.2,
9,Cruz del Rayo,Avenida de América,5.2,
9,Avenida de América,Núñez de Balboa,5.2,
9,Núñez de Balboa,Príncipe de Vergara,5.2,
9,Príncipe de Vergara,Ibiza,5.2,
9,Ibiza,Sainz de Baranda,5.2,
9,Sainz de Baranda,Estrella,5.2,
9,Estrella,Vinateros,5.2,
9,Vinateros,Artilleros,5.2,
9,Artilleros,Pavones,5.2,
9,Pavones,Valdebernardo,5.2,
9,Valdebernardo,Vicálvaro,5.2,
9,Vicálvaro,San Cipriano,5.2,
9,San Cipriano,Puerta de Arganda,5.2,
9b,Puerta de Arganda,Rivas Urbanizaciones,3.5,
9b,Rivas Urbanizaciones,Rivas Futura,3.5,
9b,Rivas Futura,Rivas Vaciamadrid,3.5,
9b,Rivas Vaciamadrid,La Poveda,3.5,
9b,La Poveda,Arganda del Rey,3.5,
10b,Hospital Infanta Sofía,Reyes Católicos,3.3,
10b,Reyes Católicos,Baunatal,3.3,
10b,Baunatal,Manuel de Falla,3.3,
10b,Manuel de Falla,Marqués de la Valdavia,3.3,
10b,Marqués de la Valdavia,La Moraleja,3.3,
10b,La Moraleja,La Granja,3.3,
10b,La Granja,Ronda de la Comunicación,3.3,
10b,Ronda de la Comunicación,Las Tablas,3.3,
10b,Las Tablas,Montecarmelo,3.3,
10b,Montecarmelo,Tres Olivos,3.3,
10,Tres Olivos,Fuencarral,9.0,
10,Fuencarral,Begoña,9.0,
10,Begoña,Chamartín,9.0,
10,Chamartín,Plaza de Castilla,9.0,
10,Plaza de Castilla,Cuzco,9.0,
10,Cuzco,Santiago Bernabéu,9.0,
10,Santiago Bernabéu,Nuevos Ministerios,9.0,
10,Nuevos Ministerios,Gregorio Marañón,9.0,
10,Gregorio Marañón,Alonso Martínez,9.0,
10,Alonso Martínez,Tribunal,9.0,
10,Tribunal,Plaza de España,9.0,
10,Plaza de España,Príncipe Pío,9.0,
10,Príncipe Pío,Lago,9.0,
10,Lago,Batán,9.0,
10,Batán,Casa de Campo,9.0,
10,Casa de Campo,Colonia Jardín,9.0,
10,Colonia Jardín,Aviación Española,9.0,
10,Aviación Española,Cuatro Vientos,9.0,
10,Cuatro Vientos,Joaquín Vilumbrales,9.0,
10,Joaquín Vilumbrales,Puerta del Sur,9.0,
11,Plaza Elíptica,Abrantes,3.5,
11,Abrantes,Pan Bendito,3.5,
11,Pan Bendito,San Francisco,3.5,
11,San Francisco,Carabanchel Alto,3.5,
11,Carabanchel Alto,La Peseta,3.5,
11,La Peseta,La Fortuna,3.5,
12,Puerta del Sur,Parque de Lisboa,2.4,
12,Parque de Lisboa,Alcorcón Central,2.4,
12,Alcorcón Central,Parque Oeste,2.4,
12,Parque Oeste,Universidad Rey Juan Carlos,2.4,
12,Universidad Rey Juan Carlos,Móstoles Central,2.4,
12,Móstoles Central,Pradillo,2.4,
12,Pradillo,Hospital de Móstoles,2.4,
12,Hospital de Móstoles,Manuela Malasaña,2.4,
12,Manuela Malasaña,Loranca,2.4,
12,Loranca,Hospital de Fuenlabrada,2.4,
12,Hospital de Fuenlabrada,Parque Europa,2.4,
12,Parque Europa,Fuenlabrada Central,2.4,
12,Fuenlabrada Central,Parque de los Estados,2.4,
12,Parque de los Estados,Arroyo Culebro,2.4,
12,Arroyo Culebro,Conservatorio,2.4,
12,Conservatorio,Alonso de Mendoza,2.4,
12,Alonso de Mendoza,Getafe Central,2.4,
12,Getafe Central,Juan de la Cierva,2.4,
12,Juan de la Cierva,El Casar,2.4,
12,El Casar,Los Espartales,2.4,
12,Los Espartales,El Bercial,2.4,
12,El Bercial,El Carrascal,2.4,
12,El Carrascal,Julián Besteiro,2.4,
12,Julián Besteiro,Casa del Reloj,2.4,
12,Casa del Reloj,Hospital Severo Ochoa,2.4,
12,Hospital Severo Ochoa,Leganés Central,2.4,
12,Leganés Central,San Nicasio,2.4,
12,San Nicasio,Puerta del Sur,2.4,
R,Ópera,Príncipe Pío,8.0,
